,WL_mm,x,y
0,7.1,28.381559844999998,40.137215209999994
1,7.1,28.38143757207895,40.13715234020114
2,7.1,28.381570362232527,40.13717089788286
3,7.1,28.381448085,40.137108025
4,7.1,28.381580867767475,40.13712658211713
5,7.1,28.38145859792105,40.13706370979885
6,7.1,28.381591385,40.13708226999999
7,7.1,28.38146911207895,40.13701940020114
8,7.1,28.3816019,40.13703796000001
9,7.1,28.381479625000004,40.13697509
10,7.1,28.38161241,40.136993649999994
11,7.1,28.38149013792105,40.13693077979886
12,7.1,28.381622925000002,40.13694934
13,,28.38131657207895,40.13704386020115
14,7.1,28.381194300000004,40.13698098999999
15,,28.38132708792105,40.13699954979886
16,7.1,28.381204815,40.136936680000005
17,,28.38133760207895,40.136955240201154
18,7.1,28.381215329999996,40.13689237
19,7.1,28.38094817792105,40.136900929798855
20,7.1,28.380958692078945,40.136856620201144
21,7.1,28.38109148,40.13687518
22,-1.8,28.381605472116988,40.13524578024534
23,-1.8,28.38159496,40.13529009
24,,28.38171723207896,40.135352960201146
25,-1.8,28.381584447883014,40.13533439975467
26,,28.38170671792105,40.135397269798865
27,-1.8,28.381573932116982,40.135378710245334
28,,28.381696205,40.135441580000006
29,,28.381643637921044,40.135663139798865
30,-1.8,28.38151085211699,40.13564458024534
31,-1.8,28.381500337767473,40.13568889211713
32,-1.8,28.38148982788284,40.13573320475461
33,,28.381612095350263,40.13579607687775
34,-1.8,28.381479314349487,40.1357775181283
35,,28.381601585,40.13584039
36,-1.8,28.3814688,40.13582183
37,,28.381591072078955,40.135884700201146
38,-1.8,28.38145828788301,40.13586613975466
39,-1.8,28.38144777211698,40.13591045024533
40,-1.8,28.38143726,40.135954760000004
41,,28.381559532078953,40.136017630201145
42,-1.8,28.381426745650515,40.1359990718717
43,-1.8,28.381416234349484,40.1360433881283
44,,28.38149645207895,40.136283500201145
45,-1.8,28.38136366565051,40.136264941871715
46,,28.381485940491928,40.13632781271995
47,-1.8,28.381353152117164,40.1363092552454
48,-1.8,28.381342642232532,40.136353567882864
49,-1.8,28.381332127883013,40.13639787975466
50,-1.8,28.38132161211698,40.13644219024534
51,,28.381380805,40.13677093
52,,28.381370292078955,40.136815240201145
53,7.1,28.381237505,40.13679668
54,7.1,28.381226990000002,40.136840989999996
55,-1.8,28.382055112116984,40.13512550024534
56,-1.8,28.3820446,40.135169809999994
57,-1.8,28.381911815,40.13515125
58,-1.8,28.38203409,40.13521412
59,-1.8,28.381901305,40.13519556
60,-1.8,28.382023575650514,40.135258431871705
61,-1.8,28.381890792079027,40.135239875201215
62,-1.8,28.382013064349497,40.135302748128304
63,-1.8,28.381880277921052,40.13528418979886
64,-1.8,28.38200255,40.13534706000001
65,-1.8,28.381869765,40.1353285
66,-1.8,28.38199203788301,40.13539136975465
67,-1.8,28.381859255,40.13537281
68,-1.8,28.381981522116988,40.13543568024533
69,-1.8,28.381848740000002,40.13541712000001
70,-1.8,28.38197101,40.13547998999999
71,-1.8,28.381838225,40.13546143000001
72,-1.8,28.38196049776747,40.13552430211714
73,-1.8,28.381827714999996,40.135505745
74,-1.8,28.381949987232424,40.13556861788291
75,-1.8,28.381817199999997,40.13555005999999
76,-1.8,28.38193947,40.135612929999986
77,-1.8,28.381806685000004,40.13559437
78,-1.8,28.381928959999993,40.13565723999999
79,-1.8,28.381796174999998,40.13563868000001
80,-1.8,28.38191844788302,40.13570154975465
81,-1.8,28.381785662078954,40.13568299020114
82,-1.8,28.381907932116988,40.13574586024534
83,-1.8,28.381775147921047,40.13572729979885
84,-1.8,28.381897417767473,40.13579017211713
85,-1.8,28.381764634999996,40.135771614999996
86,-1.8,28.38188690788284,40.135834484754604
87,-1.8,28.38175412207895,40.13581593020114
88,-1.8,28.38187639434949,40.1358787981283
89,-1.8,28.38174360792105,40.13586023979885
90,-1.8,28.381865880000003,40.13592311000001
91,-1.8,28.381733094999998,40.13590455000001
92,-1.8,28.38185537,40.13596742
93,-1.8,28.38172258207895,40.13594886020114
94,-1.8,28.381844855,40.13601173
95,-1.8,28.381712067921047,40.135993169798866
96,-1.8,28.381834340000005,40.13605603999999
97,-1.8,28.381701554999996,40.13603748
98,-1.8,28.381823827767473,40.13610035211714
99,-1.8,28.381691042079034,40.13608179520121
100,-1.8,28.381813317232425,40.13614466788292
101,-1.8,28.381680527921056,40.136126109798866
102,-1.8,28.3818028,40.13618898
103,-1.8,28.381670014999997,40.13617042
104,-1.8,28.381792289999996,40.13623329
105,-1.8,28.381659502078953,40.13621473020114
106,-1.8,28.381781775,40.13627759999999
107,-1.8,28.381648987921054,40.136259039798865
108,-1.8,28.381771259999997,40.13632191000001
109,-1.8,28.381638475000003,40.136303350000006
110,-1.8,28.381760747767473,40.13636622211713
111,-1.8,28.38162796207903,40.136347665201214
112,-1.8,28.381750237232428,40.13641053788292
113,-1.8,28.38161744792105,40.13639197979886
114,-1.8,28.381739719999995,40.13645485
115,-1.8,28.381606935,40.13643629
116,-1.8,28.381729210000003,40.13649916
117,-1.8,28.38159642207895,40.136480600201146
118,-1.8,28.381718695,40.13654347000001
119,-1.8,28.381585907921053,40.136524909798865
