,WL_mm,x,y
0,-8.1,12.075259358336883,53.86775567257371
1,-8.1,12.075164825108986,53.86765661433258
2,-8.1,12.075283145625477,53.86774448354322
3,-8.1,12.075188612364926,53.867645425320326
4,-8.1,12.075306932901427,53.86773329450785
5,9.3,12.075212399608125,53.8676342363031
6,-8.1,12.075330720164741,53.86772210546758
7,9.3,12.075236186838753,53.86762304728101
8,-8.1,12.075354507415414,53.867710916422396
9,9.3,12.075259974056742,53.867611858254016
10,-8.1,12.075378294653435,53.86769972737232
11,9.3,12.075283761262083,53.86760066922212
12,-8.1,12.075402081878822,53.86768853831733
13,9.3,12.075307548454788,53.86758948018533
14,9.3,12.075425869091557,53.86767734925745
15,9.3,12.075331335634875,53.86757829114364
16,9.3,12.07544965629163,53.86766616019261
17,9.3,12.075355122802272,53.867567102097
18,9.3,12.075378909957035,53.867555913045486
19,9.3,12.075402697099166,53.867544723989084
20,9.3,12.075426484228654,53.86753353492778
21,9.3,12.075450271345492,53.867522345861566
22,-3.0,12.07637795904085,53.867085968456
23,-3.0,12.076401745651992,53.86707477919374
24,-3.0,12.076425532250477,53.86706358992656
25,-3.0,12.076449318836321,53.86705240065447
26,-3.0,12.076473105409526,53.86704121137751
27,-3.0,12.076496891970123,53.86703002209562
28,-3.0,12.07652067851802,53.867018832808796
29,-3.0,12.076544465053285,53.86700764351711
30,-3.0,12.076568251575923,53.86699645422052
31,-3.0,12.076592038085916,53.86698526491904
32,-3.0,12.076615824583259,53.86697407561263
33,-3.0,12.076639611067973,53.866962886301344
34,-3.0,12.07666339754003,53.86695169698515
35,-3.0,12.076687183999452,53.86694050766406
36,-3.0,12.076710970446229,53.866929318338066
37,-8.1,12.075401466635922,53.867832352642466
38,-8.1,12.075425253931888,53.867821163583955
39,-8.1,12.07544904121523,53.86780997452058
40,-8.1,12.07547282848595,53.867798785452315
41,9.3,12.075070292322211,53.867557556021296
42,9.3,12.075094079545453,53.867546367027224
43,9.3,12.075117866756031,53.86753517802822
44,9.3,12.07516544113929,53.867512800015504
45,9.3,12.075189228311961,53.86750161100181
46,9.3,12.075213015471965,53.867490421983184
47,9.3,12.075236802619356,53.86747923295969
48,9.3,12.075260589754079,53.86746804393127
49,9.3,12.075284376876175,53.86745685489796
50,9.3,12.075308163985621,53.86744566585977
51,9.3,12.075331951082358,53.86743447681662
